date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2013:50:39%20GMT	http://phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup.css?v=49644074393881668111712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup4a8e.css	(from https://phono-demo.myshopify.com/)
20:50:39	10366/10366	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20May%202024%2000:33:06%20GMT	https://phono-demo.myshopify.com/cdn/shop/t/11/assets/section-hotspot.css?v=155375962229727048571712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/section-hotspot7873.css	(from https://phono-demo.myshopify.com/)
20:50:39	11526/11526	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20May%202024%2000:33:05%20GMT	https://phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup.css?v=49644074393881668111712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup4a8e.css	(from https://phono-demo.myshopify.com/)
20:50:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2013:50:39%20GMT	http://phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup.js?v=183075946837366244591712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popupc08b.js	(from https://phono-demo.myshopify.com/)
20:50:40	21102/21102	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2031%20May%202024%2010:31:41%20GMT	https://phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popup.js?v=183075946837366244591712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/magnific-popupc08b.js	(from https://phono-demo.myshopify.com/)
20:50:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2013:50:39%20GMT	http://phono-demo.myshopify.com/cdn/shop/t/11/assets/component-card.css?v=5262127554712811611712829870	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/component-carde02c.css	(from https://phono-demo.myshopify.com/)
20:50:40	14717/14717	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20Jun%202024%2016:14:26%20GMT	https://phono-demo.myshopify.com/cdn/shop/t/11/assets/component-card.css?v=5262127554712811611712829870	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/component-carde02c.css	(from https://phono-demo.myshopify.com/)
20:50:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2013:50:40%20GMT	http://phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add.css?v=146456766462400621651712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add7c28.css	(from https://phono-demo.myshopify.com/)
20:50:40	6048/6048	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2021:51:43%20GMT	https://phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add.css?v=146456766462400621651712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add7c28.css	(from https://phono-demo.myshopify.com/)
20:50:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2013:50:40%20GMT	http://phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add.js?v=34101200485966341241712829871	D:/theme/test/phono-demo.myshopify.com/cdn/shop/t/11/assets/quick-add2f68.js	(from https://phono-demo.myshopify.com/)
